,Güterabteilung,Abkürzung,Eisenbahn,Schifffahrt,LKW,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,Erzeugnisse der Land- und Forstwirtschaft sowie der Fischerei,Landwirtschaft,5.91074116709466,12.4329279198712,7.79790634990284,,,
1,"Kohle, rohes Erdöl und Erdgas",Fossile Energie,8.08317837008176,10.9282775889823,0.313028897386072,,,
2,"Erze, Steine und Erden, Bergbauerzeugnisse",Bergbau,20.0109212196346,21.7738329458058,12.3515169560584,,,
3,Nahrungs- und Genussmittel,Nahrung,1.60276277339945,4.77776784117331,20.3331661756409,,,
4,Textilien und Bekleidung; Leder und Lederwaren,Textil,0.0044275214734791,0.0491861920944375,0.428210994797217,,,
5,"Holzwaren, Papier, Pappe Druckerzeugnisse",Holzwaren und Papiere,8.14811535169279,1.64550169915936,6.49329279759293,,,
6,Kokerei- und Mineralölerzeugnisse,Kokerei,14.2743292304968,18.8696118762297,3.13420673227606,,,
7,Chemische Erzeugnisse,Petrochemie,11.8790401133445,13.378644249687,7.86490001880524,,,
8,"Sonstige Mineralerzeugnisse (Glas, Zement, Gips und so weiter)",Mineralerzeugnisse,3.77224829540423,1.82883205151136,10.2911678054284,,,
9,Metalle und Metallerzeugnisse,Metalle,16.4792349242894,6.21311035592917,7.14795022879709,,,
10,"Maschinen und Ausrüstungen, Haushaltsgeräte et ceterra","Maschinen, Haushalt",0.318781546090499,0.742264353425148,2.82783802419608,,,
11,Fahrzeuge,Fahrzeuge,8.08317837008176,10.9282775889823,0.313028897386072,,,
12,"Möbel, Schmuck, Musikinstrumente, Sportgeräte et ceterra","Möbel, Instrumente, etc.",0.0132825644204374,0.0827222321588267,1.26896195073027,,,
13,Umzugsgut und sonstige nicht­markt­bestimmte Güter,Umzugsgut,0.0014758404911597,0.0,2.74164733905848,,,
14,"Sekundärrohstoffe, Abfälle",Abfälle,3.35458543640603,6.49257735646575,7.56440794834827,,,
15,"Post, Pakete",Post,0.0,0.0,5.38104118347646,,,
